DEPTO_HECHO,MUNICIPIO_HECHO,FECHA_HECHO,BARRIOS_HECHO,DESCRIPCION_CONDUCTA,MODALIDAD,CLASE_SITIO,ZONA,GENERO,PAIS_PERSONA,CARGO_PERSONA,EDAD,2020
BOLÍVAR,CARTAGENA (CT),01/10/2020 12:00:00 AM,MANGA,ARTÍCULO 239. HURTO PERSONAS,FACTOR DE OPORTUNIDAD,MAR,URBANA,MASCULINO,PAISES BAJOS,TURISTA EXTRANJERO,32,1
BOLÍVAR,CARTAGENA (CT),01/21/2020 12:00:00 AM,GETSEMANI,ARTÍCULO 239. HURTO PERSONAS,ATRACO,"HOTELES, RESIDENCIAS, Y SIMILARES.",URBANA,MASCULINO,VENEZUELA,TURISTA EXTRANJERO,32,1
BOLÍVAR,CARTAGENA (CT),01/08/2020 12:00:00 AM,CENTRO,ARTÍCULO 239. HURTO PERSONAS,FACTOR DE OPORTUNIDAD,"HOTELES, RESIDENCIAS, Y SIMILARES.",URBANA,MASCULINO,VENEZUELA,TURISTA EXTRANJERO,26,1
BOLÍVAR,CARTAGENA (CT),01/08/2020 12:00:00 AM,GETSEMANI,ARTÍCULO 239. HURTO PERSONAS,FACTOR DE OPORTUNIDAD,"HOTELES, RESIDENCIAS, Y SIMILARES.",URBANA,MASCULINO,VENEZUELA,TURISTA EXTRANJERO,20,1
BOLÍVAR,CARTAGENA (CT),01/23/2020 12:00:00 AM,EL CABRERO,ARTÍCULO 239. HURTO PERSONAS,RAPONAZO,VIAS PUBLICAS,URBANA,MASCULINO,PAISES BAJOS,TURISTA EXTRANJERO,18,1
BOLÍVAR,CARTAGENA (CT),01/26/2020 12:00:00 AM,GETSEMANI,ARTÍCULO 239. HURTO PERSONAS,RAPONAZO,VEHICULO TAXI,URBANA,FEMENINO,PAISES BAJOS,TURISTA EXTRANJERO,61,1
BOLÍVAR,CARTAGENA (CT),01/26/2020 12:00:00 AM,GETSEMANI,ARTÍCULO 239. HURTO PERSONAS,RAPONAZO,PARQUES,URBANA,FEMENINO,AUSTRALIA,TURISTA EXTRANJERO,24,1
BOLÍVAR,CARTAGENA (CT),02/27/2020 12:00:00 AM,PIE DEL CERRO,ARTÍCULO 239. HURTO PERSONAS,ATRACO,VIAS PUBLICAS,URBANA,MASCULINO,VENEZUELA,TURISTA EXTRANJERO,32,1
BOLÍVAR,CARTAGENA (CT),03/10/2020 12:00:00 AM,GETSEMANI,ARTÍCULO 239. HURTO PERSONAS,ATRACO,"HOTELES, RESIDENCIAS, Y SIMILARES.",URBANA,MASCULINO,VENEZUELA,TURISTA EXTRANJERO,47,1
BOLÍVAR,CARTAGENA (CT),01/23/2020 12:00:00 AM,GETSEMANI,ARTÍCULO 239. HURTO PERSONAS,COSQUILLEO,DISCOTECAS,URBANA,MASCULINO,PAISES BAJOS,TURISTA EXTRANJERO,34,1
BOLÍVAR,CARTAGENA (CT),01/24/2020 12:00:00 AM,CENTRO,ARTÍCULO 239. HURTO PERSONAS,COSQUILLEO,VIAS PUBLICAS,URBANA,MASCULINO,PAISES BAJOS,TURISTA EXTRANJERO,50,1
BOLÍVAR,CARTAGENA (CT),01/08/2020 12:00:00 AM,CENTRO,ARTÍCULO 239. HURTO PERSONAS,COSQUILLEO,VIAS PUBLICAS,URBANA,MASCULINO,PAISES BAJOS,TURISTA EXTRANJERO,34,1
BOLÍVAR,CARTAGENA (CT),02/26/2020 12:00:00 AM,CENTRO,ARTÍCULO 239. HURTO PERSONAS,FACTOR DE OPORTUNIDAD,PARQUES,URBANA,FEMENINO,VENEZUELA,TURISTA EXTRANJERO,23,1
BOLÍVAR,CARTAGENA (CT),01/25/2020 12:00:00 AM,EL CABRERO,ARTÍCULO 239. HURTO PERSONAS,COSQUILLEO,VIAS PUBLICAS,URBANA,MASCULINO,PAISES BAJOS,TURISTA EXTRANJERO,29,1
BOLÍVAR,CARTAGENA (CT),02/12/2020 12:00:00 AM,TORICES,ARTÍCULO 239. HURTO PERSONAS,ATRACO,VIAS PUBLICAS,URBANA,MASCULINO,PAISES BAJOS,TURISTA EXTRANJERO,26,1
BOLÍVAR,CARTAGENA (CT),01/03/2020 12:00:00 AM,PLAYA BLANCA SUBESTACION BARU,ARTÍCULO 239. HURTO PERSONAS,FACTOR DE OPORTUNIDAD,PLAYA,URBANA,MASCULINO,ALEMANIA,TURISTA EXTRANJERO,31,1
BOLÍVAR,CARTAGENA (CT),01/20/2020 12:00:00 AM,PLAYA BLANCA SUBESTACION BARU,ARTÍCULO 239. HURTO RESIDENCIAS,ROMPIMIENTO PARED,"HOTELES, RESIDENCIAS, Y SIMILARES.",URBANA,MASCULINO,VENEZUELA,TURISTA EXTRANJERO,32,1
BOLÍVAR,CARTAGENA (CT),02/29/2020 12:00:00 AM,EL LAGUITO,ARTÍCULO 239. HURTO PERSONAS,ATRACO,"HOTELES, RESIDENCIAS, Y SIMILARES.",URBANA,MASCULINO,VENEZUELA,TURISTA EXTRANJERO,23,1
BOLÍVAR,CARTAGENA (CT),02/29/2020 12:00:00 AM,EL LAGUITO,ARTÍCULO 239. HURTO PERSONAS,ATRACO,"HOTELES, RESIDENCIAS, Y SIMILARES.",URBANA,MASCULINO,VENEZUELA,TURISTA EXTRANJERO,24,1
BOLÍVAR,CARTAGENA (CT),02/09/2020 12:00:00 AM,BOCAGRANDE,ARTÍCULO 239. HURTO PERSONAS,VIOLACION DE CERRADURA,"HOTELES, RESIDENCIAS, Y SIMILARES.",URBANA,MASCULINO,PAISES BAJOS,TURISTA EXTRANJERO,27,1
BOLÍVAR,CARTAGENA (CT),02/27/2020 12:00:00 AM,BOCAGRANDE,ARTÍCULO 239. HURTO PERSONAS,FACTOR DE OPORTUNIDAD,"HOTELES, RESIDENCIAS, Y SIMILARES.",URBANA,MASCULINO,VENEZUELA,TURISTA EXTRANJERO,49,1
BOLÍVAR,CARTAGENA (CT),01/25/2020 12:00:00 AM,BARRIO CHINO,ARTÍCULO 239. HURTO PERSONAS,RAPONAZO,VIAS PUBLICAS,URBANA,MASCULINO,BELGICA,TURISTA EXTRANJERO,25,1
BOLÍVAR,CARTAGENA (CT),01/07/2020 12:00:00 AM,CENTRO,ARTÍCULO 239. HURTO PERSONAS,FACTOR DE OPORTUNIDAD,TEATROS,URBANA,MASCULINO,VENEZUELA,TURISTA EXTRANJERO,33,1
BOLÍVAR,CARTAGENA (CT),01/07/2020 12:00:00 AM,CENTRO,ARTÍCULO 239. HURTO PERSONAS,FACTOR DE OPORTUNIDAD,TEATROS,URBANA,MASCULINO,VENEZUELA,TURISTA EXTRANJERO,48,1
BOLÍVAR,CARTAGENA (CT),01/12/2020 12:00:00 AM,CENTRO,ARTÍCULO 239. HURTO PERSONAS,COSQUILLEO,"BARES, CANTINAS Y SIMILARES",URBANA,FEMENINO,VENEZUELA,TURISTA EXTRANJERO,28,1
BOLÍVAR,CARTAGENA (CT),02/04/2020 12:00:00 AM,GETSEMANI,ARTÍCULO 239. HURTO PERSONAS,FACTOR DE OPORTUNIDAD,"HOTELES, RESIDENCIAS, Y SIMILARES.",URBANA,MASCULINO,ESTADOS UNIDOS,TURISTA EXTRANJERO,46,1
BOLÍVAR,CARTAGENA (CT),03/07/2020 12:00:00 AM,GETSEMANI,ARTÍCULO 239. HURTO PERSONAS,FACTOR DE OPORTUNIDAD,"HOTELES, RESIDENCIAS, Y SIMILARES.",URBANA,MASCULINO,VENEZUELA,TURISTA EXTRANJERO,26,1
BOLÍVAR,CARTAGENA (CT),01/10/2020 12:00:00 AM,GETSEMANI,ARTÍCULO 239. HURTO PERSONAS,RAPONAZO,VIAS PUBLICAS,URBANA,MASCULINO,PAISES BAJOS,TURISTA EXTRANJERO,21,1
BOLÍVAR,CARTAGENA (CT),02/18/2020 12:00:00 AM,TORICES,ARTÍCULO 239. HURTO PERSONAS,RAPONAZO,VIAS PUBLICAS,URBANA,FEMENINO,VENEZUELA,TURISTA EXTRANJERO,30,1
BOLÍVAR,CARTAGENA (CT),01/12/2020 12:00:00 AM,PLAYA BLANCA SUBESTACION BARU,ARTÍCULO 239. HURTO PERSONAS,FACTOR DE OPORTUNIDAD,"HOTELES, RESIDENCIAS, Y SIMILARES.",URBANA,FEMENINO,PAISES BAJOS,TURISTA EXTRANJERO,42,1
BOLÍVAR,CARTAGENA (CT),01/12/2020 12:00:00 AM,PLAYA BLANCA SUBESTACION BARU,ARTÍCULO 239. HURTO PERSONAS,FACTOR DE OPORTUNIDAD,"HOTELES, RESIDENCIAS, Y SIMILARES.",URBANA,MASCULINO,PORTUGAL,TURISTA EXTRANJERO,52,1
BOLÍVAR,CARTAGENA (CT),03/13/2020 12:00:00 AM,CENTRO,ARTÍCULO 239. HURTO PERSONAS,ATRACO,"HOTELES, RESIDENCIAS, Y SIMILARES.",URBANA,MASCULINO,ESTADOS UNIDOS,TURISTA EXTRANJERO,24,1
BOLÍVAR,CARTAGENA (CT),02/21/2020 12:00:00 AM,ISLA DEL ROSARIO,ARTÍCULO 239. HURTO PERSONAS,COSQUILLEO,MAR,RURAL,MASCULINO,VENEZUELA,TURISTA EXTRANJERO,45,1
BOLÍVAR,CARTAGENA (CT),02/29/2020 12:00:00 AM,EL POZON,ARTÍCULO 239. HURTO PERSONAS,RAPONAZO,VIAS PUBLICAS,URBANA,FEMENINO,VENEZUELA,TURISTA EXTRANJERO,37,1
BOLÍVAR,CARTAGENA (CT),02/06/2020 12:00:00 AM,EL POZON,ARTÍCULO 239. HURTO PERSONAS,RAPONAZO,VIAS PUBLICAS,URBANA,FEMENINO,AUSTRALIA,TURISTA EXTRANJERO,22,1
CALDAS,MANIZALES (CT),01/06/2020 12:00:00 AM,BARRIO SANTA HELENA,ARTÍCULO 239. HURTO PERSONAS,FACTOR DE OPORTUNIDAD,"HOTELES, RESIDENCIAS, Y SIMILARES.",URBANA,FEMENINO,ECUADOR,TURISTA EXTRANJERO,65,1
